NO,Pin Name,Pin Function,Pin Description
R19 ,"IO_TE31N_1,D3",none,Bank 1
T20,IO_TE32P_1,none,Bank 1
T19 ,IO_TE32N_1,none,Bank 1
M15,"IO_TE33P_1,CSN",并行下载模式片选信号，低有效,Bank 1
M14 ,IO_TE33N_1 ,none,Bank 1
P18 ,"IO_TE34P_1,SCLK",SCLK引脚,Bank 1
R20 ,IO_TE34N_1,none,Bank 1
N15 ,"IO_TE35P_1,D0",none,Bank 1
N14 ,"IO_TE35N_1,D1",none,Bank 1
U20 ,IO_TE36P_1 ,none,Bank 1
P17 ,IO_TE36N_1,none,Bank 1
V20 ,IO_TE37P_1,none,Bank 1
P16 ,IO_TE37N_1,none,Bank 1
P15 ,IO_TE38P_1,none,Bank 1
R16 ,IO_TE38N_1,none,Bank 1
V19 ,IO_TE39P_1,none,Bank 1
T17 ,IO_TE39N_1,none,Bank 1
T18,IO_TE40P_1,none,Bank 1
U19,IO_TE40N_1,none,Bank 1
U17,IO_TE41P_1,none,Bank 1
V17,IO_TE41N_1,none,Bank 1
R17,IO_TE42P_1,none,Bank 1
U18,IO_TE42N_1,none,Bank 1
P7,"IO_R1P_2,#NHP",引脚不支持热拔插,Bank 2
R7,"IO_R1N_2,#NHP",引脚不支持热拔插,Bank 2
W2,IO_RE2P_2,none,Bank 2
Y2,"IO_RE2N_2,#NHP",引脚不支持热拔插,Bank 2
P8,IO_R3P_2,none,Bank 2
R8,IO_R3N_2,none,Bank 2
W3,"IO_RE4P_2,#NHP",引脚不支持热拔插,Bank 2
Y3,"IO_RE4N_2,#NHP",引脚不支持热拔插,Bank 2
T7,IO_R5P_2,none,Bank 2
T8,IO_R5N_2,none,Bank 2
W4,IO_RE6P_2,none,Bank 2
Y4,IO_RE6N_2,none,Bank 2
P9,IO_R7P_2,none,Bank 2
R9,IO_R7N_2,none,Bank 2
W5,IO_RE8P_2,none,Bank 2
Y5,IO_RE8N_2,none,Bank 2
W6,IO_R9P_2,none,Bank 2
Y6,IO_R9N_2,none,Bank 2
V6,IO_RE10P_2,none,Bank 2
U6,IO_RE10N_2,none,Bank 2
W8,IO_R11P_2,none,Bank 2
Y8,IO_R11N_2,none,Bank 2
W7,IO_RE12P_2,none,Bank 2
Y7,IO_RE12N_2,none,Bank 2
V9,IO_R13P_2,none,Bank 2
T9,IO_R13N_2,none,Bank 2
V8,IO_RE14P_2,none,Bank 2
U9,IO_RE14N_2,none,Bank 2
P10,IO_R15P_2,none,Bank 2
R10,IO_R15N_2,none,Bank 2
Y10,IO_RE16P_2,none,Bank 2
W10,IO_RE16N_2,none,Bank 2
Y11,IO_R17P_2,none,Bank 2
W11,IO_R17N_2,none,Bank 2
U10,IO_RE18P_2,none,Bank 2
V10,IO_RE18N_2,none,Bank 2
P11,IO_RE19P_2,none,Bank 2
R11,IO_RE19N_2,none,Bank 2
U11,IO_RE20P_2,none,Bank 2
T10,IO_RE20N_2,none,Bank 2
Y13,IO_RE21P_2,none,Bank 2
W13,IO_RE21N_2,none,Bank 2
W9,"IO_RE22P_2,GCLKIOR_0_2",全局时钟专用输入引脚,Bank 2
Y9,"IO_RE22N_2,GCLKIOR_1_2",全局时钟专用输入引脚,Bank 2
U12,IO_RE23P_2,none,Bank 2
T11,IO_RE23N_2,none,Bank 2
Y12,"IO_RE24P_2,GCLKIOR_2_2 ",全局时钟专用输入引脚,Bank 2
W12,"IO_RE24N_2,GCLKIOR_3_2 ",全局时钟专用输入引脚,Bank 2
P12,IO_RE25P_2,none,Bank 2
R12,IO_RE25N_2,none,Bank 2
Y14,IO_RE26P_2,none,Bank 2
W14,IO_RE26N_2,none,Bank 2
V12,IO_RE27P_2,none,Bank 2
V13,IO_RE27N_2,none,Bank 2
Y15,IO_RE28P_2,none,Bank 2
W15,IO_RE28N_2,none,Bank 2
Y16,IO_RE29P_2,none,Bank 2
W16,IO_RE29N_2,none,Bank 2
Y17,IO_RE30P_2,none,Bank 2
W17,IO_RE30N_2,none,Bank 2
R6,IO_RE31P_2,none,Bank 2
T6,IO_RE31N_2,none,Bank 2
W1,IO_RE32P_2,none,Bank 2
Y1,IO_RE32N_2,none,Bank 2
T12,IO_RE33P_2,none,Bank 2
T13,IO_RE33N_2,none,Bank 2
V14,IO_RE34P_2,none,Bank 2
U14,IO_RE34N_2,none,Bank 2
Y18,IO_RE35P_2,none,Bank 2
W18,IO_RE35N_2,none,Bank 2
Y19,IO_RE36P_2,none,Bank 2
W19,IO_RE36N_2,none,Bank 2
P13,IO_RE37P_2,none,Bank 2
R13,IO_RE37N_2,none,Bank 2
Y20,IO_RE38P_2,none,Bank 2
W20,IO_RE38N_2,none,Bank 2
T16,IO_RE39P_2,none,Bank 2
R15,IO_RE39N_2,none,Bank 2
T14,IO_RE40P_2,none,Bank 2
U15,IO_RE40N_2,none,Bank 2
P14,IO_R41P_2,none,Bank 2
R14,IO_R41N_2,none,Bank 2
V15,IO_RE42P_2,none,Bank 2
V16,IO_RE42N_2,none,Bank 2
M6,IO_BE1P_3,none,Bank 3
M7,IO_BE1N_3,none,Bank 3
R1,IO_BE2P_3,none,Bank 3
R2,IO_BE2N_3,none,Bank 3
T1,IO_BE3P_3,none,Bank 3
T2,IO_BE3N_3,none,Bank 3
R3,IO_BE4P_3,none,Bank 3
R4,IO_BE4N_3,none,Bank 3
N3,IO_BE5P_3,none,Bank 3
N4,IO_BE5N_3,none,Bank 3
P3,IO_BE6P_3,none,Bank 3
P4,IO_BE6N_3,none,Bank 3
V1,IO_BE7P_3,none,Bank 3
V2,IO_BE7N_3,none,Bank 3
U1,"IO_BE8P_3,GCLKIOB_0_3",全局时钟专用输入引脚,Bank 3
U2,"IO_BE8N_3,GCLKIOB_1_3",全局时钟专用输入引脚,Bank 3
N5,IO_BE9P_3,none,Bank 3
N6,IO_BE9N_3,none,Bank 3
T3,IO_BE10P_3,none,Bank 3
T4,IO_BE10N_3,none,Bank 3
P5,IO_BE11P_3,none,Bank 3
P6,IO_BE11N_3,none,Bank 3
V3,IO_BE12P_3,none,Bank 3
V4,IO_BE12N_3,none,Bank 3
U4,"IO_BE13P_3,#NHP",引脚不支持热拔插,Bank 3
U5,"IO_BE13N_3,#NHP",引脚不支持热拔插,Bank 3
T5,"IO_BE14P_3,#NHP",引脚不支持热拔插,Bank 3
R5,"IO_BE14N_3,#NHP",引脚不支持热拔插,Bank 3
K6,IO_BE1P_4,none,Bank 4
K7,IO_BE1N_4,none,Bank 4
K5,IO_BE2P_4,none,Bank 4
K4,IO_BE2N_4,none,Bank 4
J2,IO_BE3P_4,none,Bank 4
J1,IO_BE3N_4,none,Bank 4
L1,"IO_BE4P_4,GCLKIOB_2_4",全局时钟专用输入引脚,Bank 4
L2,"IO_BE4N_4,GCLKIOB_3_4",全局时钟专用输入引脚,Bank 4
L3,IO_BE5P_4,none,Bank 4
L4,IO_BE5N_4,none,Bank 4
K2,IO_BE6P_4,none,Bank 4
K1,IO_BE6N_4,none,Bank 4
M1,IO_BE7P_4,none,Bank 4
M2,IO_BE7N_4,none,Bank 4
L5,IO_BE8P_4,none,Bank 4
M5,IO_BE8N_4,none,Bank 4
L6,IO_BE9P_4,none,Bank 4
L7,IO_BE9N_4,none,Bank 4
M3,IO_BE10P_4,none,Bank 4
M4,IO_BE10N_4,none,Bank 4
N1,IO_BE11P_4,none,Bank 4
N2,IO_BE11N_4,none,Bank 4
P1,IO_BE12P_4,none,Bank 4
P2,IO_BE12N_4,none,Bank 4
F5,IO_BE1P_5,none,Bank 5
G5,IO_BE1N_5,none,Bank 5
F6,IO_BE2P_5,none,Bank 5
G6,IO_BE2N_5,none,Bank 5
C1,"IO_BE4N_5,GPLL0IN_FDB ",PLL反馈时钟专用输入引脚,Bank 5
C2,"IO_BE4P_5,GPLL0IP_FDB ",PLL反馈时钟专用输入引脚,Bank 5
C3,IO_BE3N_5 ,none,Bank 5
C4,IO_BE3P_5 ,none,Bank 5
E4,IO_BE5P_5 ,none,Bank 5
E3,IO_BE5N_5 ,none,Bank 5
D2,"IO_BE6P_5,GPLL0IP_REF",PLL参考时钟专用输入引脚,Bank 5
D1,"IO_BE6N_5,GPLL0IN_REF ",PLL参考时钟专用输入引脚,Bank 5
F4,IO_BE7P_5 ,none,Bank 5
F3,IO_BE7N_5,none,Bank 5
E2,"IO_BE8P_5,GCLKIOB_4_5",全局时钟专用输入引脚,Bank 5
E1,"IO_BE8N_5,GCLKIOB_5_5",全局时钟专用输入引脚,Bank 5
F2,IO_BE9P_5,none,Bank 5
F1,IO_BE9N_5,none,Bank 5
G4,IO_BE10P_5,none,Bank 5
G3,IO_BE10N_5,none,Bank 5
H6,IO_BE11P_5,none,Bank 5
H7,IO_BE11N_5,none,Bank 5
G2,IO_BE12P_5,none,Bank 5
G1,IO_BE12N_5,none,Bank 5
J6,IO_BE13P_5,none,Bank 5
J5,IO_BE13N_5,none,Bank 5
H3,IO_BE14P_5,none,Bank 5
H4,IO_BE14N_5,none,Bank 5
J4,IO_BE15P_5,none,Bank 5
J3,IO_BE15N_5,none,Bank 5
H2,IO_BE16P_5,none,Bank 5
H1,IO_BE16N_5,none,Bank 5
H12,VCCAUX,辅助电源 ,Bank -
H13,VCCAUX,辅助电源 ,Bank -
J10,VCCAUX,辅助电源 ,Bank -
J11,VCCAUX,辅助电源 ,Bank -
J9,VCCAUX,辅助电源 ,Bank -
K12,VCCAUX,辅助电源 ,Bank -
L12,VCCAUX,辅助电源 ,Bank -
L9,VCCAUX,辅助电源 ,Bank -
M12,VCCAUX,辅助电源 ,Bank -
M10,VCCAUX,辅助电源 ,Bank -
J7,VCCIO5,I/O组电源 ,Bank 5
J8,VCCIO5,I/O组电源 ,Bank 5
K8,VCCIO4,I/O组电源 ,Bank 4
K9,VCCIO4,I/O组电源 ,Bank 4
M8,VCCIO3,I/O组电源 ,Bank 3
M9,VCCIO3,I/O组电源 ,Bank 3
N10,VCCIO2,I/O组电源 ,Bank 2
N11,VCCIO2,I/O组电源 ,Bank 2
N12,VCCIO2,I/O组电源 ,Bank 2
N8,VCCIO2,I/O组电源 ,Bank 2
N9,VCCIO2,I/O组电源 ,Bank 2
J13,VCCIO1,I/O组电源 ,Bank 1
K13,VCCIO1,I/O组电源 ,Bank 1
L13,VCCIO1,I/O组电源 ,Bank 1
M13,VCCIO1,I/O组电源 ,Bank 1
N13,VCCIO1,I/O组电源 ,Bank 1
H10,VCCIO0,I/O组电源 ,Bank 0
H11,VCCIO0,I/O组电源 ,Bank 0
H8,VCCIO0,I/O组电源 ,Bank 0
H9,VCCIO0,I/O组电源 ,Bank 0
J12,VCCIO0,I/O组电源 ,Bank 0
E16,GND_PLLA1,PLL地,Bank -
E5,GND_PLLA0,PLL地,Bank -
C5,GND,电源地,Bank -
D3,GND,电源地,Bank -
D4,GND,电源地,Bank -
E10,GND,电源地,Bank -
E11,GND,电源地,Bank -
E12,GND,电源地,Bank -
E13,GND,电源地,Bank -
E18,GND,电源地,Bank -
E9,GND,电源地,Bank -
G18,GND,电源地,Bank -
H5,GND,电源地,Bank -
K10,GND,电源地,Bank -
K11,GND,电源地,Bank -
K3,GND,电源地,Bank -
L10,GND,电源地,Bank -
L11,GND,电源地,Bank -
L18,GND,电源地,Bank -
L8,GND,电源地,Bank -
M11,GND,电源地,Bank -
R18,GND,电源地,Bank -
T15,GND,电源地,Bank -
U13,GND,电源地,Bank -
U16,GND,电源地,Bank -
U3,GND,电源地,Bank -
U7,GND,电源地,Bank -
U8,GND,电源地,Bank -
V11,GND,电源地,Bank -
V18,GND,电源地,Bank -
V5,GND,电源地,Bank -
V7,GND,电源地,Bank -
N7,GND,电源地,Bank -
