NO,Pin Name,Pin Function,Pin description
A14,IO_TE2N_0,"Type=IOBB, Bank=0","none"
B13,IO_TE2P_0,"Type=IOBB, Bank=0","none"
B12,IO_TE3N_0,"Type=IOBB, Bank=0","none"
C12,IO_TE3P_0,"Type=IOBB, Bank=0","none"
A12,IO_TE4N_0,"Type=IOBB, Bank=0","none"
B11,IO_TE4P_0,"Type=IOBB, Bank=0","none"
D11,IO_TE5N_0,"Type=IOBB, Bank=0","none"
F10,IO_TE5P_0,"Type=IOBB, Bank=0","none"
E11,IO_TE6N_0,"Type=IOBB, Bank=0","none"
F9,IO_TE6P_0,"Type=IOBB, Bank=0","none"
B1,IO_BE1P_5,"Type=IOBB, Bank=5","none"
C2,IO_BE1N_5,"Type=IOBB, Bank=5","none"
C1,IO_BE2P_5,"Type=IOBB, Bank=5","none"
D2,IO_BE2N_5,"Type=IOBB, Bank=5","none"
D3,IO_BE3P_5,"Type=IOBB, Bank=5","none"
D1,IO_BE3N_5,"Type=IOBB, Bank=5","none"
E2,IO_BE4P_5,"Type=IOBB, Bank=5","none"
E3,IO_BE4N_5,"Type=IOBB, Bank=5","none"
G2,"IO_BE5P_5, D0","Type=IOBB, Bank=5","none"
G3,"IO_BE5N_5, D1","Type=IOBB, Bank=5","none"
F3,IO_BE6P_5,"Type=IOBB, Bank=5","none"
F1,IO_BE6N_5,"Type=IOBB, Bank=5","none"
G5,IO_BE7P_5,"Type=IOBB, Bank=5","none"
G4,IO_BE7N_5,"Type=IOBB, Bank=5","none"
E1,IO_BE8P_GCLKI0B_0_5,"Type=IOBB, Bank=5","none"
F2,IO_BE8N_GCLKI0B_1_5,"Type=IOBB, Bank=5","none"
F4,IO_BE9P_5,"Type=IOBB, Bank=5","none"
G6,IO_BE9N_5,"Type=IOBB, Bank=5","none"
F5,IO_BE10P_5,"Type=IOBB, Bank=5","none"
H6,IO_BE10N_5,"Type=IOBB, Bank=5","none"
G1,IO_BE1P_4,"Type=IOBB, Bank=4","none"
H2,IO_BE1N_4,"Type=IOBB, Bank=4","none"
H3,IO_BE2P_4,"Type=IOBB, Bank=4","none"
H1,IO_BE2N_4,"Type=IOBB, Bank=4","none"
J2,IO_BE3P_4,"Type=IOBB, Bank=4","none"
K1,IO_BE3N_4,"Type=IOBB, Bank=4","none"
K3,"IO_BE4P_4, D2","Type=IOBB, Bank=4","none"
K2,"IO_BE4N_4, D3","Type=IOBB, Bank=4","none"
H4,IO_BE5P_4,"Type=IOBB, Bank=4","none"
J6,IO_BE5N_4,"Type=IOBB, Bank=4","none"
H5,IO_BE6P_4,"Type=IOBB, Bank=4","none"
J4,IO_BE6N_4,"Type=IOBB, Bank=4","none"
J5,"IO_BE7P_4, DPCLKI0_3","Type=IOBB, Bank=4","none"
K6,IO_BE7N_4,"Type=IOBB, Bank=4","none"
J1,"IO_BE8P_GCLKI0B_2_4","Type=IOBB, Bank=4","none"
J3,"IO_BE8N_GCLKI0B_3_4","Type=IOBB, Bank=4","none"
L2,IO_BE1P_3,"Type=IOBB, Bank=3","none"
M1,IO_BE1N_3,"Type=IOBB, Bank=3","none"
L1,"IO_BE2P_3, DPCLKI0_4","Type=IOBB, Bank=3","none"
L3,IO_BE2N_3,"Type=IOBB, Bank=3","none"
N2,IO_BE3P_3,"Type=IOBB, Bank=3","none"
P1,IO_BE3N_3,"Type=IOBB, Bank=3","none"
R1,IO_BE4P_3,"Type=IOBB, Bank=3","none"
P2,IO_BE4N_3,"Type=IOBB, Bank=3","none"
M3,IO_BE5P_3,"Type=IOBB, Bank=3","none"
N1,IO_BE5N_3,"Type=IOBB, Bank=3","none"
M2,"IO_BE6P_GCLKI0B_4_3, D4","Type=IOBB, Bank=3","none"
N3,"IO_BE6N_GCLKI0B_5_3, D5","Type=IOBB, Bank=3","none"
K4,IO_BE7P_3,"Type=IOBB, Bank=3","none"
L5,IO_BE7N_3,"Type=IOBB, Bank=3","none"
K5,IO_BE8P_3,"Type=IOBB, Bank=3","none"
L4,IO_BE8N_3,"Type=IOBB, Bank=3","none"
T2,IO_BE1P_2,"Type=IOBB, Bank=2","none"
R3,IO_BE1N_2,"Type=IOBB, Bank=2","none"
T3,IO_BE2P_2,"Type=IOBB, Bank=2","none"
R4,IO_BE2N_2,"Type=IOBB, Bank=2","none"
P4,IO_BE3P_2,"Type=IOBB, Bank=2","none"
T4,IO_BE3N_2,"Type=IOBB, Bank=2","none"
T5,IO_BE4P_2,"Type=IOBB, Bank=2","none"
R6,IO_BE4N_2,"Type=IOBB, Bank=2","none"
R5,IO_BE5P_2,"Type=IOBB, Bank=2","none"
P5,IO_BE5N_2,"Type=IOBB, Bank=2","none"
P6,IO_BE6P_2,"Type=IOBB, Bank=2","none"
T6,IO_BE6N_2,"Type=IOBB, Bank=2","none"
R7,IO_BE7P_2,"Type=IOBB, Bank=2","none"
P7,IO_BE7N_2,"Type=IOBB, Bank=2","none"
P8,IO_BE8P_2,"Type=IOBB, Bank=2","none"
T8,IO_BE8N_2,"Type=IOBB, Bank=2","none"
M14,IO_BE9P_2,"Type=IOBB, Bank=2","none"
M15,IO_BE9N_2,"Type=IOBB, Bank=2","none"
R9,"IO_BE10P_2, D6","Type=IOBB, Bank=2","none"
T10,"IO_BE10N_2, D7","Type=IOBB, Bank=2","none"
P15,IO_BE11P_2,"Type=IOBB, Bank=2","none"
R16,IO_BE11N_2,"Type=IOBB, Bank=2","none"
N16,IO_BE12P_2,"Type=IOBB, Bank=2","none"
N14,IO_BE12N_2,"Type=IOBB, Bank=2","none"
N15,IO_BE13P_2,"Type=IOBB, Bank=2","none"
P16,IO_BE13N_2,"Type=IOBB, Bank=2","none"
M6,IO_R1P_2,"Type=IOBE, Bank=2","none"
L8,IO_R1N_2,"Type=IOBE, Bank=2","none"
L7,IO_R2P_2,"Type=IOBE, Bank=2","none"
N6,IO_R2N_2,"Type=IOBE, Bank=2","none"
M7,IO_R3P_2,"Type=IOBE, Bank=2","none"
N7,IO_R3N_2,"Type=IOBE, Bank=2","none"
L9,IO_R4N_2,"Type=IOBE, Bank=2","none"
N8,IO_R4P_2,"Type=IOBE, Bank=2","none"
M8,IO_R5P_2,"Type=IOBE, Bank=2","none"
N9,IO_R5N_2,"Type=IOBE, Bank=2","none"
L10,IO_R6N_2,"Type=IOBE, Bank=2","none"
M9,IO_R6P_2,"Type=IOBE, Bank=2","none"
M10,IO_R7P_2,"Type=IOBE, Bank=2","none"
N11,IO_R7N_2,"Type=IOBE, Bank=2","none"
R8,"IO_R8N_GCLKI0R_1_2, LVDS_TX_1N","Type=IOBE, Bank=2","none"
T7,"IO_R8P_GCLKI0R_0_2, LVDS_TX_1P","Type=IOBE, Bank=2","none"
N10,IO_R9P_2,"Type=IOBE, Bank=2","none"
M11,"IO_R9N_2, DPCLKI0_5","Type=IOBE, Bank=2","none"
P9,"IO_R10N_GCLKI0R_3_2, LVD_STX_1N","Type=IOBE, Bank=2","none"
T9,"IO_R10P_GCLKI0R_2_2, LVD_STX_1P","Type=IOBE, Bank=2","none"
P10,"IO_R11P_2, DPCLKI0_6","Type=IOBE, Bank=2","none"
R10,IO_R11N_2,"Type=IOBE, Bank=2","none"
P11,"IO_R12N_2, LVDSRX_1N","Type=IOBE, Bank=2","none"
T11,"IO_R12P_2, LVDSRX_1P","Type=IOBE, Bank=2","none"
P12,IO_R13P_2,"Type=IOBE, Bank=2","none"
T13,IO_R13N_2,"Type=IOBE, Bank=2","none"
T12,IO_R14N_2,"Type=IOBE, Bank=2","none"
R11,IO_R14P_2,"Type=IOBE, Bank=2","none"
P13,IO_R15N_2,"Type=IOBE, Bank=2","none"
T14,"IO_R16N_2, GPLL2_OUTN","Type=IOBE, Bank=2","none"
R13,"IO_R16P_2, GPLL2_OUTP","Type=IOBE, Bank=2","none"
T15,IO_R17P_2,"Type=IOBE, Bank=2","none"
R14,IO_R17N_2,"Type=IOBE, Bank=2","none"
M16,IO_T1_1,"Type=IOBB, Bank=1","none"
L12,"IO_TE1N_1, GPIO4","Type=IOBB, Bank=1","none"
J11,"IO_TE1P_1, GPIO3","Type=IOBB, Bank=1","none"
L14,"IO_TE2N_1, GPLL2IN","Type=IOBB, Bank=1","none"
L16,"IO_TE2P_1, GPLL2IP","Type=IOBB, Bank=1","none"
L15,IO_T2_1,"Type=IOBB, Bank=1","none"
K15,IO_TE3N_1,"Type=IOBB, Bank=1","none"
K14,IO_TE3P_1,"Type=IOBB, Bank=1","none"
L13,IO_TE4N_1,"Type=IOBB, Bank=1","none"
K11,IO_TE4P_1,"Type=IOBB, Bank=1","none"
K12,"IO_TE5N_1, GPIO13","Type=IOBB, Bank=1","none"
K13,"IO_TE5P_1, GPIO12","Type=IOBB, Bank=1","none"
J14,"IO_TE6N_1","Type=IOBB, Bank=1","none"
J16,"IO_TE6P_1","Type=IOBB, Bank=1","none"
K16,"IO_TE7N_1, GPIO11","Type=IOBB, Bank=1","none"
J15,"IO_TE7P_1, GPIO10","Type=IOBB, Bank=1","none"
H15,IO_TE8N_1,"Type=IOBB, Bank=1","none"
G16,IO_TE8P_1,"Type=IOBB, Bank=1","none"
J12,"IO_TE9N_1, GPIO9, DPCLKI0_7, ADC1_CH3","Type=IOBB, Bank=1","none"
H13,"IO_TE9P_1, GPIO8, USRCLK, ADC1_CH2","Type=IOBB, Bank=1","none"
J13,IO_TE10N_1,"Type=IOBB, Bank=1","none"
H11,IO_TE10P_1,"Type=IOBB, Bank=1","none"
H12,"IO_TE11N_GCLKI0T_3_1","Type=IOBB, Bank=1","none"
G11,"IO_TE11P_GCLKI0T_2_1","Type=IOBB, Bank=1","none"
H16,"IO_TE12N_GCLKI0T_1_1","Type=IOBB, Bank=1","none"
H14,"IO_TE12P_GCLKI0T_0_1","Type=IOBB, Bank=1","none"
G14,IO_TE13N_1,"Type=IOBB, Bank=1","none"
G15,IO_TE13P_1,"Type=IOBB, Bank=1","none"
G13,"IO_T3_1, GPIO7, ADC1_CH1","Type=IOBB, Bank=1","none"
F16,"IO_TE14N_1, CSON, DOUT","Type=IOBB, Bank=1","none"
F14,"IO_TE14P_1, GPIO6, DPCLKI0_0, ADC1_CH0","Type=IOBB, Bank=1","none"
G12,"IO_T4_1, GPIO5, ADCO_VREF","Type=IOBB, Bank=1","none"
F13,"IO_T5_1, CSN","Type=IOBB, Bank=1","none"
F15,"IO_TE15N_1, GPIO1, ADC1_VREF","Type=IOBB, Bank=1","none"
E16,"IO_TE15P_1, GPIO0, ADC1_CH4","Type=IOBB, Bank=1","none"
E14,IO_TE16N_1,"Type=IOBB, Bank=1","none"
D16,IO_TE16P_1,"Type=IOBB, Bank=1","none"
F12,"IO_T_T_1, GPIO2, ADC1_CH5","Type=IOBB, Bank=1","none"
E15,IO_TE17N_1,"Type=IOBB, Bank=1","none"
D14,IO_TE17P_1,"Type=IOBB, Bank=1","none"
D15,"IO_TE18N_1, GPIO15, ADC1_CH6","Type=IOBB, Bank=1","none"
C16,"IO_TE18P_1, GPIO14","Type=IOBB, Bank=1","none"
B16,IO_TE19N_1,"Type=IOBB, Bank=1","none"
C15,IO_TE19P_1,"Type=IOBB, Bank=1","none"
A16,ADC_VDDA,"Type=–, Bank=–","none"
F11,GND_ADC,"Type=–, Bank=–","none"
A2,ADC_VDDD,"Type=–, Bank=–","none"
L11,GND_PLLA2,"Type=–, Bank=–","none"
B2,GND,"Type=–, Bank=–","none"
B15,GND,"Type=–, Bank=–","none"
C3,GND,"Type=–, Bank=–","none"
C14,GND,"Type=–, Bank=–","none"
D4,GND,"Type=–, Bank=–","none"
D13,GND,"Type=–, Bank=–","none"
E5,GND,"Type=–, Bank=–","none"
E12,GND,"Type=–, Bank=–","none"
F6,GND,"Type=–, Bank=–","none"
H8,GND,"Type=–, Bank=–","none"
H9,GND,"Type=–, Bank=–","none"
J8,GND,"Type=–, Bank=–","none"
J9,GND,"Type=–, Bank=–","none"
L6,GND,"Type=–, Bank=–","none"
M5,GND,"Type=–, Bank=–","none"
M12,GND,"Type=–, Bank=–","none"
N4,GND,"Type=–, Bank=–","none"
N13,GND,"Type=–, Bank=–","none"
P3,GND,"Type=–, Bank=–","none"
P14,GND,"Type=–, Bank=–","none"
R2,GND,"Type=–, Bank=–","none"
R15,GND,"Type=–, Bank=–","none"
A1,VCCAUX,"Type=–, Bank=–","none"
G7,VCCAUX,"Type=–, Bank=–","none"
G10,VCCAUX,"Type=–, Bank=–","none"
K7,VCCAUX,"Type=–, Bank=–","none"
K10,VCCAUX,"Type=–, Bank=–","none"
T1,VCCAUX,"Type=–, Bank=–","none"
T16,VCCAUX,"Type=–, Bank=–","none"
G8,VCCIO0,"Type=–, Bank=–","none"
G9,VCCIO0,"Type=–, Bank=–","none"
D5,VCCIO0,"Type=–, Bank=–","none"
D12,VCCIO0,"Type=–, Bank=–","none"
H10,VCCIO1,"Type=–, Bank=–","none"
J10,VCCIO1,"Type=–, Bank=–","none"
E13,VCCIO1,"Type=–, Bank=–","none"
M13,VCCIO1,"Type=–, Bank=–","none"
K8,VCCIO2,"Type=–, Bank=–","none"
K9,VCCIO2,"Type=–, Bank=–","none"
N5,VCCIO2,"Type=–, Bank=–","none"
N12,VCCIO2,"Type=–, Bank=–","none"
M4,VCCIO3,"Type=–, Bank=–","none"
H7,VCCIO4,"Type=–, Bank=–","none"
J7,VCCIO4,"Type=–, Bank=–","none"
E4,VCCIO5,"Type=–, Bank=–","none"
